1872	12	1	400			28.925	48.3	47.3	
		11	200			29.103	42.8	41.3
			400			29.162	42.3	40.8
			600			29.213	42.3	40.8
			800			29.307	39.8	39.8
			1000			29.376	40.8	40.3
			1130	Anchored at Spithead				
			1200			29.447	41.8	40.8
			1400	Portsmouth Harbour		29.527	41.8	39.8
			1600			29.582	42.8	39.8
			1800			29.645	39.8	38.3
			2000			29.738	37.8	36.8
			2200			29.777	36.8	35.8
			2400	Portsmouth		29.840	35.8	34.8
		12	200			29.896	40.3	38.8
			400			29.906	44.3	43.8
			600			29.966	29.8	29.3
			800			29.990	32.8	31.8
			1000			30.026	35.8	34.8
			1200	Portsmouth		30.016	38.3	36.8
			1400			30.031	38.8	37.8
			1600			30.031	39.8	37.8
			1800			30.038	40.8	38.8
			2000			30.005	41.8	39.8
			2200			30.007	41.8	40.8
			2400			29.977	41.3	40.8
		13	200			29.890	42.8	41.8
			400			29.910	42.8	41.8
			600			29.910	42.3	40.8
			800			29.865	44.3	42.8
			1000			29.785	46.3	46.3
			1200	Portsmouth		29.775	46.8	46.3
			1400			29.726	48.8	47.8
			1600			29.717	48.8	47.8
			1800			29.712	46.3	45.8
			2000			29.697	44.3	43.8
			2200			29.665	44.3	43.8
			2400			29.617	43.3	42.8
		14	200			29.596	41.8	40.8
			400			29.552	42.3	39.8
			600			29.462	44.3	42.8
			800			29.452	43.3	42.8
			1000			29.432	43.8	42.8
			1200	Portsmouth		29.432	43.8	43.8
			1400			29.452	43.8	42.8
			1600			29.482	42.8	42.8
			1800			29.499	42.8	42.8
			2000			29.539	42.3	42.3
			2200			29.596	46.8	46.3
			2400			29.586	46.8	45.8
		15	200			29.622	47.3	46.8
			400			29.680	46.3	46.3
			600			29.726	45.8	45.3
			800			29.767	47.8	46.8
			1000			29.774	47.3	46.8
			1200	Portsmouth		29.771	47.3	46.8
			1400			29.771	47.3	46.8
			1600			29.768	47.8	47.3
			1800			29.768	47.8	47.3
			2000			29.783	48.8	47.8
			2200			29.786	46.8	46.3
			2400			29.784	44.8	44.3
		16	200			29.847	44.3	43.8
			400			29.863	43.3	42.8
			600			29.880	42.3	41.8
			800			29.890	42.3	41.8
			1000			29.890	43.8	43.3
			1200	Portsmouth		29.847	45.8	45.8
			1400			29.816	46.8	46.3
			1600			29.758	47.3	46.8
			1800			29.717	47.8	46.8
			2000			29.637	47.8	47.3
			2200			29.564	48.8	47.8
			2400			29.430	51.3	50.8
		17	200			29.431	45.8	44.8
			400			29.411	45.8	45.8
			600			29.426	45.8	45.3
			800			29.426	45.8	44.8
			1000			29.424	46.8	45.8
			1200	Portsmouth		29.431	47.3	46.3
			1400			29.451	49.3	48.3
			1600			29.481	51.8	50.8
			1800			29.486	45.8	44.8
			2000			29.496	45.8	45.8
			2200			29.507	42.8	41.8
			2400			29.527	42.3	41.3
		18	200			29.529	41.8	40.8
			400			29.529	42.3	41.3
			600			29.609	42.8	40.8
			800			29.670	40.8	40.3
			1000			29.703	42.8	41.8
			1200	Portsmouth		29.707	44.3	42.8
			1400			29.700	44.3	42.8
			1600			29.723	42.8	41.8
			1800			29.720	41.3	40.3
			2000			29.717	40.8	40.3
			2200			29.707	40.8	40.3
			2400			29.683	39.8	39.8
		19	200			29.668	43.3	42.8
			400			29.658	43.3	42.8
			600			29.580	46.8	45.8
			800			29.577	45.8	45.3
			1000			29.617	44.8	44.8
			1200	Portsmouth		29.637	46.3	45.8
			1400			29.622	45.8	44.8
			1600			29.682	44.8	44.3
			1800			29.652	42.3	41.8
			2000			29.705	40.8	40.8
			2200			29.717	39.8	39.8
			2400			29.730	39.8	39.8
		20	200			29.724	39.3	37.8
			400			29.708	39.8	38.3
			600			29.698	38.8	37.8
			800			29.678	37.8	37.8
			1000			29.617	40.3	39.8
			1200	Portsmouth		29.574	43.3	42.3
			1400			29.533	44.8	44.3
			1600			29.563	45.8	45.8
			1800			29.563	45.8	45.8
			2000			29.624	45.8	44.8
			2200			29.433	45.8	44.8
