	ABSTRACT OF THE METEOROLOGICAL JOURNAL KEPT																						
	"ON BOARD HIS MAJESTY'S SHIP, HECLA, FROM"																						
	JUNE 1824 TO SEPTEMBER 1825																						
																	TEMP IN SHADE 			SEA WATER			
YEAR	MONTH	DAY 	LAT (N)	LONG (W)	BAROMETER												REGISTERED EVERY 2 HOURS			AT SURFACE			
			1200	1200	300	400	500	900	1000	1100	1500	1600	1700	2100	2200	2300	MAX	MIN	MEAN	MAX	MIN	MEAN	
1825	1	17			29.806	29.808		29.760	29.738		29.725	29.719		29.698	29.691		-25.0	-33.0	-28.3				
1825	1	18			29.668	29.669		29.675	29.657		29.664	29.654		29.648	29.643		-20.0	-25.0	-21.9				
1825	1	19			29.674	29.660		29.676	29.707		29.722	29.725		29.744	29.739		-14.5	-19.5	-17.7				
1825	1	20			29.702	29.702		29.627	29.604		29.523	29.496		29.411	29.403		-20.0	-27.5	-24.2				
1825	1	21			29.341	29.340		29.330	29.321		29.328	29.337		29.335	29.335		-25.0	-31	-28.5				
1825	1	22			29.334	29.352		29.358	29.373		29.444	29.454		29.489	29.490		-23.0	-31.0	-27.6				
1825	1	23			29.575	29.576		29.620	29.648		29.711	29.722		29.757	29.769		-23.0	-32.5	-27.8				
1825	1	24			29.831	29.833		29.882	29.877		29.910	29.912		29.936	29.934		-34.0	-38.0	-36.2				
1825	1	25			29.942	29.930		29.918	29.908		29.891	29.882		29.862	29.854		-37.0	-42.5	-40.1				
1825	1	26			29.836	29.838		29.809	29.807		29.791	29.798		29.834	29.835		-23.5	-42.5	-38.0				
1825	1	27			29.852	29.859		29.864	29.854		29.938	29.921		29.937	29.934		-24.0	-29.0	-26.5				
1825	1	28			29.960	29.952		29.941	29.939		29.868	29.851		29.890	29.886		-22.0	-37.0	-30.4				
1825	1	29			29.905	29.902		29.898	29.896		29.912	29.911		29.943	29.962		-27.0	-31.0	-28.3				
1825	1	30			30.017	30.025		30.060	30.069		30.092	30.096		30.074	30.060		-25.0	-32.0	-26.4				
1825	1	31			30.035	30.029		29.948	29.939		29.936	29.932		29.940	29.940		-30.0	-34.0	-31.5				
	MEAN				29.761	29.766		29.758	29.754		29.761	29.760		29.768	29.762		-14.5	-42.5	-28.9				
					29.762	29.766		29.758	29.754		29.762	29.759		29.767	29.762	#DIV/0!	-25.2	-32.2	-28.8				
1825	2	1	PORT	BOWEN	29.952	29.956	29.954	29.941	29.938	29.931	29.952	29.945	29.950	29.963	29.956	29.968	-31.0	-36.0	-32.9				
1825	2	2			30.030	30.037	30.048	30.089	30.119	30.137	30.227	30.239	30.268	30.336	30.340	30.351	-35.0	-40.0	-38.3				
1825	2	3			30.393	30.426	30.409	30.460	30.440	30.451	30.452	30.468	30.432	30.441	30.441	30.439	-25.0	-39.5	-33.1				
1825	2	4			30.452	30.458	30.417	30.360	30.344	30.340	30.256	30.224	30.204	30.076	30.069	30.038	-18.0	-27.0	-22.8				
1825	2	5			29.932	29.900	29.882	29.792	29.760	29.754	29.681	29.674	29.645	29.595	29.567	29.563	-21.0	-25.0	-23.0				
1825	2	6			29.517	29.509	29.515	29.528	29.438	29.448	29.478	29.470	29.473	29.509	29.502	29.507	-13.0	-20.0	-15.8				
1825	2	7			29.533	29.535	29.530	29.562	29.577	29.591	29.635	29.648	29.662	29.725	29.732	29.733	-16.0	-29.0	-21.5				
1825	2	8			29.774	29.783	29.779	29.796	29.802	29.809	29.822	29.815	29.821	29.854	29.865	29.874	-28.0	-39.0	-33.5				
1825	2	9			29.926	29.945	29.940	29.973	29.964	29.983	30.045	30.039	30.057	30.116	30.111	30.118	-37.5	-39.0	-38.2				
1825	2	10			30.184	30.188	30.189	30.211	30.200	30.216	30.228	30.230	30.237	30.231	30.225	30.224	-31.0	-38.0	-36.0				
1825	2	11			30.239	30.246	30.245	30.244	30.247	30.251	30.259	30.260	30.256	30.230	30.231	30.23	-25.0	-34.0	-30.0				
1825	2	12			30.210	30.198	30.197	30.145	30.118	30.121	30.074	30.037	30.023	29.962	29.916	29.915	-8.0	-20.0	-12.5				
1825	2	13			29.874	29.850	29.829	29.759	29.718	29.708	29.660	29.644	29.633	29.606	29.594	29.587	-10.0	-22.5	-14.0				
1825	2	14			29.589	29.601	29.602	29.636	29.644	29.655	29.708	29.709	29.747	29.746	29.749	29.74	-22.0	-32.5	-25.8				
1825	2	15			29.758	29.760	29.756	29.757	29.755	29.752	29.756	29.771	29.786	29.790	29.792	29.797	-29.0	-34.0	-31.1				
1825	2	16			29.825	29.833	29.837	29.826	29.822	29.824	29.831	29.836	29.826	29.811	29.796	29.787	-22.0	-37.0	-32.5				
1825	2	17			29.734	29.717	29.710	29.659	29.643	29.630	29.618	29.597	29.597	29.586	29.580	29.586	-15.0	-23.0	-18.3				
1825	2	18			29.602	29.609	29.608	29.608	29.608	29.618	29.645	29.660	29.666	29.700	29.706	29.712	-26.0	-34.0	-29.0				
1825	2	19			29.728	29.747	29.737	29.743	29.753	29.756	29.752	29.759	29.765	29.799	29.797	29.787	-27.0	-40.0	-33.3				
1825	2	20			29.798	29.796	29.801	29.790	29.786	29.779	29.751	29.757	29.746	29.724	29.717	29.708	-37.0	-42	-39.4				
1825	2	21			29.692	29.692	29.688	29.688	29.685	29.691	29.727	29.734	29.750	29.770	29.760	29.753	-35.0	-45	-40.4				
1825	2	22			29.760	29.777	29.772	29.791	29.798	29.813	29.883	29.898	29.904	29.920	29.921	29.913	-29.0	-36.0	-31.9				
1825	2	23			29.910	29.896	29.895	29.891	29.833	29.811	29.768	29.760	29.761	29.647	29.738	29.731	-25.0	-28.0	-26.5				
1825	2	24			29.735	29.730	29.718	29.789	29.791	29.790	29.823	29.830	29.837	29.856	29.858	29.858	-25.0	-28.5	-26.7				
1825	2	25			29.930	29.941	29.951	29.996	30.006	30.014	30.004	30.085	30.095	30.105	30.115	30.1	-27.0	-32.0	-30.4				
1825	2	26			30.096	30.075	30.049	29.997	29.967	29.926	29.899	29.902	29.880	29.827	29.803	29.804	-8.5	-26.0	-17.2				
1825	2	27			29.856	29.856	29.852	29.853	29.849	29.867	29.861	29.869	29.877	29.888	29.896	29.894	-8.0	-13.0	-10.2				
1825	2	28			29.954	29.971	29.984	30.006	30.001	30.005	30.029	30.031	30.019	29.990	29.966	29.957	-9.0	-32.0	-20.9				
	MEAN				29.892	29.894	29.889	29.889	29.879	29.881	29.886	29.889	29.890	29.886	29.884	29.881	-8.0	-45.0	-27.4				
					29.892	29.894	29.889	29.889	29.879	29.881	29.887	29.889	29.890	29.886	29.884	29.881	-23.0	-31.9	-27.3				
1825	3	1	PORT	BOWEN	29.915	29.928	29.910	29.915	29.951	29.975	30.053	30.084	30.121	30.157	30.177	30.183	-22.0	-44.0	-31.5				
1825	3	2			30.289	30.310	30.323	30.378	30.373	30.378	30.397	30.398	30.393	30.363	30.358	30.351	-38.0	-47.5	-43.0				
1825	3	3			30.304	30.284	30.267	30.134	30.119	30.080	29.935	29.931	29.910	29.857	29.850	29.850	-23.0	-40.0	-29.3				
1825	3	4			29.861	29.877	29.865	29.895	29.891	29.894	29.932	29.932	29.925	29.903	29.895	29.886	-27.0	-35.0	-31.3				
1825	3	5			29.874	29.886	29.899	29.949	29.953	29.960	30.029	30.030	30.085	30.041	30.033	30.023	-26.0	-33.5	-29.3				
1825	3	6			29.980	29.984	29.964	29.921	29.909	29.918	30.049	30.078	30.115	30.229	30.239	30.249	-20.0	-39.0	-29.6				
1825	3	7			30.309	30.322	30.326	30.319	30.296	30.286	30.249	30.231	30.226	30.173	30.157	30.142	-32.0	-39.0	-35.3				
1825	3	8			30.108	30.109	30.095	30.098	30.098	30.080	30.103	30.102	30.106	30.124	30.127	30.129	-24.0	-33.0	-28.4				
1825	3	9			30.159	30.174	30.174	30.207	30.207	30.205	30.243	30.244	30.256	30.288	30.282	30.290	-24.0	-33.5	-27.9				
1825	3	10			30.324	30.322	30.329	30.352	30.346	30.358	30.401	30.406	30.409	30.444	30.441	30.439	-22.0	-36.5	-30.1				
1825	3	11			30.461	30.472	30.475	30.508	30.491	30.490	30.434	30.473	30.466	30.443	30.417	30.411	-25.0	-38.5	-34.0				
1825	3	12			30.375	30.354	30.336	30.263	30.242	30.224	30.151	30.135	30.109	30.077	30.055	30.038	-24.0	-37.0	-32.2				
1825	3	13			29.966	29.972	29.959	29.932	29.919	29.912	29.901	29.896	29.897	29.898	29.886	29.886	-24.0	-36.0	-30.5				
1825	3	14			29.889	29.882	29.892	29.865	29.861	29.848	29.852	29.851	29.860	29.885	29.836	29.905	-23.0	-38.0	-32.3				
1825	3	15			29.972	29.983	29.988	30.034	30.033	30.033	30.069	30.077	30.088	30.100	30.099	30.108	-18.0	-38.0	-27.6				
1825	3	16			30.139	30.151	30.150	30.189	30.138	30.141	30.096	30.083	30.081	30.039	30.033	30.020	-23.0	-28.0	-25.5				
1825	3	17			30.014	30.019	30.027	29.999	29.984	29.989	29.980	29.978	29.988	29.964	29.961	29.962	-21.0	-27.5	-24.4				
1825	3	18			29.964	29.966	29.960	29.983	29.977	29.967	29.967	29.969	29.970	29.933	29.919	29.900	-11.0	-29.5	-23.0				
1825	3	19			29.881	29.890	29.883	29.818	29.797	29.767	29.774	29.754	29.717	29.725	29.710	29.709	-15.5	-25.5	-21.5				
1825	3	20			29.696	29.708	29.710	29.709	29.708	29.728	29.708	29.711	29.703	29.658	29.635	29.624	-20.0	-27.0	-22.3				
1825	3	21			29.636	29.651	29.618	29.713	29.714	29.742	29.840	29.855	29.785	29.951	29.966	29.983	-20.0	-29.0	-22.3				
1825	3	22			30.055	30.076	30.076	30.146	30.160	30.177	30.236	30.258	30.264	30.308	30.315	30.319	-16.0	-37.5	-29.2				
1825	3	23			30.338	30.341	30.353	30.355	30.348	30.349	30.344	30.348	30.330	30.320	30.330	30.324	-20.0	-38.0	-30.5				
1825	3	24			30.343	30.351	30.355	30.390	30.382	30.385	30.386	30.378	30.380	30.391	30.394	30.374	-23.0	-40.0	-33.5				
1825	3	25			30.388	30.392	30.397	30.398	30.402	30.396	30.387	30.400	30.393	30.377	30.382	30.387	-26.0	-42.0	-33.5				
