,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Vessel and Vessel Movements,,,,,,,,,Wind,,,,,Current,,Data Characteristics,,,,
Start Date,Time of reading,Image Numbers,Document Title,Vessel,Ship Type,Owner of Port of Registry,Vessel Movements,Latitude ,Longitude ,Barometer,Air Temperature,Water Temperature,Direction,Force,Course,Distance,Distance by Log,Direction,Drift,Meteorology,Oceanography,Confirmed Sea Ice Observations,Other data,Notes
12/05/1947,19:00,1983_011_0003_0034,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1021.5,75,77.5,S.E.,2,,,,,,,,,,
13/05/1947,07:00,1983_011_0003_0036,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1023,71,77,S.E.,7,,,,,,,,,,
13/05/1947,Noon,1983_011_0003_0036,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,8.51S,87.04W,,,,,,270,38,22,S.E.,16,,,,,
13/05/1947,19:00,1983_011_0003_0036,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1021.5,74.5,77.5,S.S.E.,2,,,,,,,,,,
14/05/1947,07:00,1983_011_0003_0038,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1023,75.5,77.5,S.S.E.,2,,,,,,,,,,
14/05/1947,Noon,1983_011_0003_0038,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,8.43S,87.47W,,,,,,270,43.3,38,S.E.,5.3,,,,,
14/05/1947,19:00,1983_011_0003_0038,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1022,75,78,S.E.,3,,,,,,,,,,
15/05/1947,07:00,1983_011_0003_0040,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1023.5,76,78.8,S.E.,3,,,,,,,,,,
15/05/1947,Noon,1983_011_0003_0040,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,8.41S,88.22W,,,,,,270,53.9,40,E.S.E. ,13.9,,,,,
15/05/1947,18:00,1983_011_0003_0040,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1022,75.5,79.2,S.E.,3,,,,,,,,,,
16/05/1947,06:00,1983_011_0003_0042,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1021.5,75.5,79,S.E.,3,,,,,,,,,,
16/05/1947,Noon,1983_011_0003_0042,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,8.02S,89.06W,,,,,,270,44,40,E.S.E. ,4,,,,,
