ALBERT 1 1898 CRUISE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,PARIS,PARIS,,,,,,,Greenwich,,,,,,,,,,,,,,
YEAR,MONTH,DAY,HOUR,Latitude °,Latitude ',Longitude °,Longitude ',PRESSURE mm,"PRESSURE """,PRESSURE hPa,add SG,REMARKS,Latitude,Longitude,,Sond T°C 100m,Sond T°C 210m,Sond T°C 300m,Sond T°C 410m,,,,,,,,,
1898,7,13,1200,,,,,756,,1007.92,,Herlo Fjord or is it Hero Fjord?,,,,,,,,,,,,,,60.397076,",",2.5969213
1898,7,13,1600,,,,,756,,1007.92,,,,,,,,,,,,,,,,60.397076,",",2.5969213
1898,7,13,2000,,,,,756,,1007.92,,,,,,,,,,,,,,,,,",",
1898,7,13,2400,,,,,756,,1007.92,,,,,,,,,,,,,,,,,",",
1898,7,14,700,,,,,756,,1007.92,,,,,,,,,,,,,,,,,",",
1898,7,14,1200,62,15,2,49,757.7,,1010.18,1011.64,Nord de Stadtlandet,62.25,5.41358796666667,,,,,,,,,,,,,",",
1898,7,14,1530,,,,,,,,,"Vartdalsfjord, Bredsund",,,,,,,,,,,,,,,",",
1898,7,14,1600,,,,,758.5,,1011.25,,,,,,,,,,,,,,,,,",",
1898,7,14,2000,,,,,760,,1013.25,,,,,,,,,,,,,,,,,",",
1898,7,14,2400,,,,,760.7,,1014.18,,,,,,,,,,,,,,,,62.25,",",5.41358796666667
1898,7,15,800,,,,,762.5,,1016.58,,,,,,,,,,,,,,,,,",",
1898,7,15,1200,63,25,6,2,763.2,30.09,1017.52,1019.08,Trondhiem Channel,63.4166666666667,8.63025463333333,,,,,,,,,,,,,",",
1898,7,15,1600,,,,,763.4,,1017.78,,,,,,,,,,,,,,,,,",",
1898,7,15,2000,,,,,763.2,,1017.52,,,,,,,,,,,,,,,,,",",
1898,7,16,1200,65,12,9,32,759,,1011.92,1013.6,Entrance to Melston Fjord,65.2,12.1302546333333,,,,,,,,,,,,,",",
1898,7,16,1600,,,,,759,,1011.92,,,,,,,,,,,,,,,,63.4166666666667,",",8.86358796666667
1898,7,16,1700,65,30,12,5.25,,,,,,65.5,12.0875,,,,,,,,,,,,,",",
1898,7,16,2000,,,,,758,,1010.58,,,,,,,,,,,,,,,,,",",
1898,7,16,2400,,,,,756.8,,1008.98,,,,,,,,,,,,,,,,65.2,",",12.1302546333333
1898,7,17,800,,,,,755,,1006.58,,,,,,,,,,,,,,,,,",",
1898,7,17,1200,66,42,11,13,,,,,Dans Holands Fjord,66.7,13.8135879666667,,,,,,,,,,,,65.5,",",12.0875
1898,7,17,1800,,,,,755.5,,1007.25,,,,,,,,,,,,,,,,,",",
1898,7,18,800,,,,,758,,1010.58,,,,,,,,,,,,,,,,,",",
1898,7,18,1200,,,,,,,,,Dans Holands Fjord,,,,,,,,,,,,,,,",",
1898,7,18,1500,66,42,13,42.1666667, ,,,,,66.7,13.7027777783333,,,,,,,,,,,,66.7,",",13.9969213
1898,7,18,1600,,,,,758.2,,1010.85,,,,,,,,,,,,,,,,,",",
1898,7,18,2200,,,,,758.2,,1010.85,,,,,,,,,,,,,,,,,",",
1898,7,19,900,,,,,757,,1009.25,,,,,,,,,,,,,,,,,",",
1898,7,19,1200,67,39,12,13,757,,1009.25,1011.09,,67.65,14.8135879666667,,,,,,,,,,,,66.7,",",13.9469213
1898,7,19,1800,,,,,757,,1009.25,,,,,,,,,,,,,,,,,",",
1898,7,20,1200,69,15,12,22,758,,1010.58,1012.53,,69.25,14.9635879666667,,,,,,,,,,,,,",",
1898,7,20,1532,69,18,12,9,,,,,,69.3,14.7469213,,,,,,,,,,,,,",",
1898,7,20,1624,69,18,14,32.5,,,,,,69.3,14.5416666666667,,,,,,,,,,,,67.65,",",14.8135879666667
1898,7,20,1700,,,,,759,,1011.92,,,,,,,,,,,,,,,,,",",
1898,7,21,1200,,,,,,,,,Mouillage de Skiolhavn/Anchorage of Skiolhavn,,,,,,,,,,,,,,69.25,",",14.9635879666667
1898,7,21,1600,,,,,758,,1010.58,,,,,,,,,,,,,,,,69.3,",",14.7469213
1898,7,21,2000,,,,,756,,1007.92,,,,,,,,,,,,,,,,69.3,",",14.5416666666667
1898,7,21,2400,,,,,754,,1005.25,,,,,,,,,,,,,,,,,",",
1898,7,22,800,,,,,753.8,,1004.98,,,,,,,,,,,,,,,,,",",
1898,7,22,935,69,17.5,12,4,,,,,,69.2916666666667,14.6635879666667,,,,,,,,,,,,,",",
1898,7,22,1200,69,16,12,0,754,29.74,1005.25,1007.19,,69.2666666666667,14.5969213,,,,,,,,,,,,,",",
1898,7,22,1600,,,,,755,,1006.58,,,,,,,,,,,,,,,,,",",
1898,7,22,2400,,,,,754.5,,1005.92,,,,,,,,,,,,,,,,,",",
1898,7,23,1200,,,,,755,,1006.58,,In Gavl Fjord,,,,,,,,,,,,,,69.2916666666667,",",14.6635879666667
1898,7,23,1600,,,,,755,,1006.58,,,,,,,,,,,,,,,,69.2666666666667,",",14.5969213
1898,7,23,1728,69,15.5,12,15,,,,,,69.2583333333333,14.8469213,,,-0.8,,-0.6,,,,,,,,",",
1898,7,23,1900,69,15.5,12,9.5,,,,,,69.2583333333333,14.7552546333333,,,-0.9,,-0.7,,,,,,,,",",
1898,7,23,2000,,,,,755.5,,1007.25,,,,,,,,,,,,,,,,,",",
1898,7,23,2046,69,17.5,12,6,,,,,,69.2916666666667,14.6969213,,,-0.8,,-0.4,,,,,,,,",",
1898,7,24,500,,,,,757.5,,1009.92,,,,,,,,,,,,,,,,69.2583333333333,",",14.8469213
1898,7,24,800,,,,,757.5,,1009.92,,,,,,,,,,,,,,,,69.2583333333333,",",14.7552546333333
1898,7,24,1200,69,30,18,15.81666667,758,,1010.58,1012.54,,69.5,18.4273,,,,,,,,,,,,,",",
1898,7,25,100,,,,,759.5,,1012.58,,,,,,,,,,,,,,,,69.2916666666667,",",14.6969213
1898,7,25,600,,,,,760.5,,1013.92,,,,,,,,,,,,,,,,,",",
1898,7,25,1100,,,,,760.5,,1013.92,,,,,,,,,,,,,,,,,",",
1898,7,25,1200,,,,,,,,,"Tromso, Norway",,,,,,,,,,,,,,69.5,",",18.4273
1898,7,26,500,,,,,760.5,,1013.92,,"Tromso, Norway",,,,,,,,,,,,,,,",",
1898,7,27,500,,,,,760.5,,1013.92,,"Tromso, Norway",,,,,,,,,,,,,,,",",
1898,7,28,1200,69,48,16,58,759.5,,1012.58,,Dans Grot Sund,,,,,,,,,,,,,,,",",
1898,7,28,1600,,,,,760,,1013.25,,,,,,,,,,,,,,,,,",",
1898,7,28,2000,,,,,759.5,,1012.58,,,,,,,,,,,,,,,,,",",
1898,7,29,100,,,,,759.1,,1012.05,,,,,,,,,,,,,,,,,",",
1898,7,29,500,,,,,759.5,,1012.58,,,,,,,,,,,,,,,,,",",
1898,7,29,800,,,,,759.5,,1012.58,,,,,,,,,,,,,,,,,",",
1898,7,29,922,,,,,,,,,"Fond a 394 metres, de vase, temp 3.2",,,,,,,,,,,,,,,",",
1898,7,29,1200,72,37,17,40,759.8,,1012.98,1015.13,,72.6166666666667,20.2635879666667,,,,,,,,,,,,,",",
1898,7,29,1400,72,37,20,0.25,,,,,,72.6166666666667,20.0041666666667,,5.3,,5,,,,,,,,,",",
1898,7,29,1600,,,,,759.8,,1012.98,,,,,,,,,,,,,,,,,",",
1898,7,29,2000,,,,,760,,1013.25,,,,,,,,,,,,,,,,,",",
1898,7,30,400,,,,,758.5,,1011.25,,,,,,,,,,,,,,,,72.6166666666667,",",20.2635879666667
1898,7,30,800,,,,,758.7,,1011.52,,,,,,,,,,,,,,,,72.6166666666667,",",20.0041666666667
1898,7,30,1200,74,22,17,5,759,,1011.92,,,,,,,,,,,,,,,,,",",
1898,7,30,1600,,,,,759.5,,1012.58,,,,,,,,,,,,,,,,,",",
1898,7,30,2000,,,,,759.5,,1012.58,,,,,,,,,,,,,,,,,",",
1898,7,30,2400,,,,,759.5,,1012.58,,,,,,,,,,,,,,,,,",",
1898,7,31,100,,,,,759.5,,1012.58,,,,,,,,,,,,,,,,,",",
1898,7,31,500,,,,,758.5,,1011.25,,,,,,,,,,,,,,,,,",",
1898,7,31,800,,,,,758.5,,1011.25,,,,,,,,,,,,,,,,,",",
1898,7,31,1200,76,30,23,7,759.6,,1012.72,1015.05,,76.5,25.7135879666667,,,,,,,,,,,,,",",
1898,7,31,1330,76,30,25,27.15,,,,,,76.5,25.4525,,,,,,,,,,,,,",",
1898,7,31,1425,,,,,,,,,Sonde 48 metres temp 1.9 ,,,,,,,,,,,,,,,",",
1898,7,31,1600,,,,,760,,1013.25,,,,,,,,,,,,,,,,,",",
1898,7,31,2000,,,,,760.2,,1013.52,,,,,,,,,,,,,,,,76.5,",",25.7135879666667
1898,7,31,920,76,40,26,3.25,,,,,,76.6666666666667,26.0541666666667,,,,,,,,,,,,76.5,",",25.4525
1898,8,1,1200,76,40,23,43,759.7,,1012.85,1015.19,,76.6666666666667,26.3135879666667,,,,,,,,,,,,,",",
1898,8,1,1600,,,,,759,,1011.92,,,,,,,,,,,,,,,,,",",
1898,8,1,2000,,,,,758.5,,1011.25,,,,,,,,,,,,,,,,,",",
1898,8,2,100,,,,,755.9,,1007.78,,,,,,,,,,,,,,,,76.6666666666667,",",26.0541666666667
