					"Pressure reduced to 32F, SG and MSL"						

YEAR	MONTH	DAY	HOUR	HOUR	LAT	LONG	PRESSURE	DRY BULB	WET BULB	SST	REMARKS
			GMT	SHIP			hPa	F	F	F & C	
			13.49	12	0 24 S	27 87 W	1014.5	76.7	73.8	75.8
				16			1012.8	74.0	70.1	75.4
				20	0 53 S	27 45 W	1013.8	75.0	72.0	75.0
				24			1014.8	76.0	73.0	75.0
		6		4			1014.1	76.0	72.9	75.4
				8			1015.2	77.0	74.0	75.0
			13.50	12	2 7.5 S	27 53 W	1014.9	76.6	72.6	76.0
				16			1013.1	76.0	73.2	75.0
				20	2 36 S	28 16 W	1013.8	76.5	73.5	74.0
				24			1014.1	76.5	72.5	74.0
		7		4			1013.1	76.0	71.1	74.0
				8			1015.0	77.0	72.0	72.0
			13.52	12	4 07 S	28 30 W	1014.8	77.2	72.8	76.6
				16			1012.5	77.0	74.0	77.8
				20	4 43 S	28 35.5 W	1014.0	78.0	73.0	74.0
				24			1014.6	77.2	71.4	75.3
		8		4			1014.5	77.0	71.2	75.8
				8	5 38 S	28 36 W	1015.9	76.0	72.0	77.2
			13.53	12	6 15 S	28 46.5 W	1015.8	78.0	73.2	76.2
				16			1014.6	78.2	72.0	76.0
				20	6 51 S	28 55 W	1016.2	78.0	73.0	75.0
				24			1016.4	77.0	72.1	76.0
		9		4			1014.9	76.7	70.9	75.5
				8	7 44 S	29 13 W	1016.4	77.0	71.2	76.0
			13.56	12	8 20 S	29 32 W	1016.3	77.9	69.3	77.9
				16			1014.5	77.9	71.2	77.3
				20			1015.7	77.0	72.0	75.0
				24			1015.7	76.2	72.0	75.2
		10		4			1015.0	76.0	72.0	75.0
				8	9 48 S	30 13 W	1016.3	75.2	70.5	77.4
			13.58	12	10 24.5 S	30 15 W	1016.4	76.4	71.3	75.9
				16			1014.9	76.5	72.1	77.0
				20	11 00.5 S	30 26 W	1015.8	74.5	72.0	75.0
				24			1016.4	71.2	71.2	74.0
		11		4			1014.8	70.5	69.2	74.3
				8			1016.3	72.1	70.1	76.2
			13.59	12	12 30.5 S	30 42 W	1016.6	73.6	69.0	73.4
				16			1015.4	74.6	69.2	75.7
				20			1016.1	73.0	70.0	75.0
				24			1017.8	73.4	70.4	74.0
		12		4			1017.2	74.0	69.9	74.5
				8	14 22 S	30 54 W	1019.3	72.2	69.9	74.9
			14.00	12	14 55.5 S	30 55 W	1020.0	73.6	68.0	73.4
				16			1018.0	75.5	69.5	74.4
				20			1019.5	74.0	69.0	75.0
				24			1020.7	69.0	68.0	75.0
		13		4			1019.0	70.3	69.0	73.1
				8			1020.2	72.0	69.0	74.2
			14.00	12	17 01 S	30 56 W	1019.0	74.5	69.0	75.2
				16			1017.7	74.8	69.0	74.9
				20	17 41 S	30 58.5 W	1019.2	73.5	68.5	74.0
				24			1019.0	73.0	69.2	73.0
		14		4			1018.0	72.5	68.0	73.0
				8			1018.1	72.4	69.0	73.8
			14.00	12	19 34 S	31 0 2 W	1017.1	73.1	68.8	73.0
				16			1015.9	72.7	67.8	71.9
				20			1017.6	72.0	67.4	74.0
				24			1016.3	71.0	67.4	71.4
		15		4			1015.1	71.0	68.0	72.6
				8			1016.9	72.5	67.4	73.0
			13.57	12	21 52 S	30 33 W	1015.8	71.5	67.6	71.9
				16			1014.8	72.1	67.1	73.0
				20			1016.7	71.5	68.0	72.0
				24			1016.0	71.0	67.2	71.6
		16		4			1013.8	70.8	66.8	69.0
				8			1015.4	71.0	67.5	70.8
			13.50	12	23 38 S	28 33 W	1014.9	72.0	67.6	70.2
				16			1013.5	70.0	66.7	70.2
				20			1014.5	68.0	66.0	70.0
				24			1014.9	66.4	66.0	69.8
		17		4			1014.4	63.5	62.1	66.1
				8			1017.1	66.0	62.0	69.5
			13.40	12			1017.7	66.5	59.8	70.0
				16			1017.1	67.0	60.0	71.0
				20	24 33 S	24 56 W	1019.5	66.0	57.0	69.0
				24			1019.6	65.7	56.3	68.2
		18		4			1018.4	65.6	58.9	69.2
				8			1021.1	66.0	59.0	69.9
			13.25	12	24 57 S	22 35.5 W	1021.5	67.0	59.9	70.0
				16			1020.7	66.2	59.7	70.0
				20			1022.6	66.0	57.0	69.0
				24			1023.4	65.1	58.2	65.3
		19		4			1022.9	63.3	59.0	67.0
				8			1024.0	65.0	57.0	68.1
			13.14	12	25 04 S	20 06 W	1022.8	66.6	58.5	69.0
				16			1022.0	66.0	57.1	68.1
				20			1023.4	67.0	54.5	65.0
				24			1024.2	63.8	58.8	63.5
		20		4			1022.1	63.8	57.0	66.0
				8			1024.2	64.5	56.0	67.6
			13.13	12	26 27.5 S	19 59.5 W	1024.0	65.8	59.2	64.8
				16			1023.3	65.9	59.9	67.7
				20			1024.3	63.0	58.0	65.0
				24			1025.4	63.8	56.3	64.4
		21		4			1024.2	62.0	54.8	63.6
				8			1026.5	63.0	56.0	65.6
			13.13	12	27 59 S	19 49 W	1026.0	62.9	56.2	65.8
				16			1024.7	63.0	55.5	66.0
				20			1026.8	61.0	55.0	64.5
				24			1027.6	60.9	55.0	62.0
		22		4			1026.7	60.7	54.8	61.9
				8			1027.8	61.0	55.0	63.2
			13.12	12	29 44 S	19 50 W	1027.0	62.0	56.0	64.9
				16			1026.3	67.0	59.0	65.0
				20	30 11 S	19 47 W	1028.6	61.2	57.0	64.9
				24			1028.4	61.2	57.6	62.2
		23		4			1025.9	61.2	56.1	64.0
				8			1026.3	63.0	58.0	64.0
			13.03	12	30 38 S	18 05 W	1025.8	67.3	61.0	63.8
				16			1024.0	64.0	60.4	64.0
				20			1024.0	63.0	60.5	63.5
				24			1024.0	62.0	60.0	63.1
		24		4			1021.0	61.9	60.1	60.9
				8			1021.6	62.0	60.0	61.2
			12.53	12	31 30.5 S	15 14 W	1019.9	64.8	61.8	61.8
				16			1017.7	64.3	61.5	62.2
				20			1017.9	63.4	61.0	62.0
				24			1016.1	62.2	59.0	61.8
		25		4			1013.2	61.2	59.0	61.1
				8			1013.7	62.5	60.0	61.2
			12.39	12			1015.4	58.8	55.8	61.0
				16			1017.1	59.1	55.0	59.2
				20			1019.7	57.0	52.5	58.0
				24			1023.4	56.2	50.0	56.0
		26		4			1023.6	55.0	49.2	58.9
				8			1026.0	55.0	49.5	58.2
			12.26	12	32 29.5 S	8 43 W	1026.3	57.7	51.4	58.0
				16			1026.4	56.5	49.5	60.5
				20			1027.3	56.0	51.0	58.0
				24			1026.9	56.6	50.5	57.9
		27		4			1025.8	56.6	50.6	59.0
				8			1028.0	57.0	50.0	59.0
			12.14	12	33 17 S	5 30 W	1027.5	57.7	50.8	59.1
				16			1026.7	56.5	50.8	58.0
				20			1027.9	56.0	51.0	
				24			1028.2	54.3	50.8	58.0
		28		4			1027.4	54.2	51.1	57.0
				8			1030.0	56.0	51.0	58.0
			12.0	12	33 31 S	2 22 W	1028.5	58.0	52.6	58.0
				16			1027.5	57.0	52.1	60.0
				20			1029.7	56.0	49.0	58.2
				24			1031.5	55.0	48.2	55.5
		29		4			1028.3	54.5	47.3	57.0
				8			1029.1	56.0	49.0	55.0
			11.5	12	33 32 S	0 10 E	1030.0	57.9	49.8	57.5
				16			1028.2	56.0	49.0	58.1
				20			1028.5	58.5	53.0	56.0
				24			1027.9	56.2	52.2	56.0
		30		4			1024.8	56.7	52.1	58.0
				8			1025.4	57.0	52.9	58.0
			11.39	12	33 50.5 S	2 50 E	1023.2	58.3	54.2	58.0
				16			1020.6	57.9	54.8	60.0
				20			1019.8	58.5	54.0	59.0
				24			1018.2	57.5	54.0	59.0
1929	10	1		4			1014.6	58.1	55.0	58.0
				8			1014.1	59.0	55.0	58.0
			11.24	12	34 25 S	6 45 E	1011.5	60.0	56.0	59.5
				16			1009.2	60.0	56.2	59.0
				20			1013.1	65.0	64.0	57.0
				24			1015.8	55.3	50.3	58.2
		2		4			1016.8	53.5	48.5	58.1
				8			1020.3	57.0	50.0	59.0
			11.07	12	34 30.5 S	10 47.5 E	1023.7	53.0	46.2	59.0
				16			1025.1	52.0	47.1	58.9
				20			1027.0	52.0	46.0	57.5
				24			1031.1	51.9	45.9	56.0
		3		4			1030.7	51.0	46.9	60.4
				8			1032.8	53.0	47.0	61.0
			10.52	12	34 22 S	14 13 E	1032.1	56.3	50.0	62.4
				16			1030.6	55.3	49.0	60.2
				20			1031.0	55.0	49.0	59.0
				24			1031.1	54.9	49.0	60.1
		4		4			1026.7	54.5	48.9	58.5
				8			1027.1	55.0	50.0	59.0
			10.41	12	33 58.5 S	16 54 E	1025.6	58.5	52.4	58.0
				16			1022.8	59.5	54.0	60.4
				20			1023.0	57.0	52.1	59.0
				24			1023.0	55.8	51.0	59.0
		5		4	Cape Town		1020.9	56.6	52.0	52.5
				8						
				12						
				16						
				20						
				24						
		19		4						
				8						
			10.32	12	33 55 S	18 17 E	1012.0	63.0	60.0	50.0
				16			1010.7	64.0	60.5	53.8
				20			1012.0	62.5	62.0	54.0
				24			1012.8	63.8	63.0	54.0
		20		4			1012.5	65.0	62.9	54.1
				8			1015.2	65.2	63.0	64.0
			10.32	12	35 13 S	18 07 E	1016.0	67.5	62.8	66.0
				16			1015.5	65.5	61.8	65.1
				20			1017.4	64.0	59.0	65.0
				24			1017.6	62.5	59.7	67.0
		21		4			1017.5	60.6	59.3	64.2
				8			1017.8	64.0	61.0	64.0
			10.3	12	36 48.5 S	19 06 E	1017.7	69.2	61.8	65.0
				16			1017.0	69.8	62.0	67.3
				20			1017.5	64.0	60.0	66.0
				24			1017.2	64.2	60.5	69.0
		22		4			1015.7	64.9	60.0	64.9
				8			1016.4	68.4	63.0	68.5
			10.18	12	37 23 S	21 35.5 E	1016.2	60.8	60.2	71.4
				16			1017.5	59.2	57.0	71.9
				20			1021.4	59.0	57.1	72.0
				24			1023.7	59.7	57.0	68.0
		23		4			1024.3	58.5	55.0	66.0
				8			1024.2	58.5	56.0	65.0
			10.12	12	36 51.5 S	23 05 E	1024.7	59.3	57.8	65.0
				16			1021.1	64.0	62.1	65.5
				20			1021.0	63.0	62.0	65.0
				24			1019.3	63.5	62.0	64.7
		24		4			1014.8	64.9	64.0	64.8
				8			1013.3	67.0	64.0	65.5
