	"William Wales - Journal on the Resolution, 21 June 1772-17 Oct. 1774"														
															

YEAR	MONTH	DAY	OBS	OBS	BAR 1	BAR 2	THER. A	THER. B							
			LAT	LONG	NOON	NOON	NOON	NOON							
1772	7	13		4 51 W	30.16	30.42	64.0	64.0							
		24	29 44	223 29.4	29.70	29.90	69.0	65.5
		25	28 53.3	224 37	29.80	30.00	69.3	66.0
		26	27 55.2	225 14	29.95	30.20	70.0	67.0
		27	27 43	224 52	30.00	30.00		
		28	27 30	224 12	29.95	30.00	70.5	69.5
		29	27 4.15	225 14	29.80	30.05	77.0	71.0
		30	26 19	225 23.4	29.85	30.00	69.8	68.0
		31			29.60	29.90	70.0	
	8	1	23 14	226 2.15	29.80	29.95	69.3	69.3
		2	22 25	226 7	29.95	30.13	71.0	71.3
		3	21 18	227 12	29.95	30.12	73.5	74.0
		4	21 39.15	228 40.3	29.90	30.15	79.0	76.0
		5	19 47.2	229 9.4	30.00	30.20	77.5	78.0
		6	18 37		30.00	30.25	75.0	73.5
		7	18 04.4	225 52	30.00	30.40	75.0	74.5
		8	17 41.1	221 57.3	30.00	30.35	78.5	
		9	17 22.4	220 2.3	30.10	30.30	76.5	78.6
		10	17 17.4	218 01.3	29.95	30.20	77.5	78.5
		11	17 11	215 58	30.00	30.15	78.0	78.5
		12	17 16.15	214 41	30.00	30.20	78.0	
		13	17 15	212 55	30.00	30.25	79.0	79.0
		14	17 45.4	211 33.5	30.00	30.30	78.8	80.0
		15	17 41.1		30.05	30.10	80.0	80.5
	9	17	17 17		30.00	30.15	78.0	79.0
		18	17 40		29.90	30.15	80.0	81.3
		19	18 3.2		29.80	30.15	80.0	81.3
		20	18 33.8	204 10.2	29.90	30.10	78.5	81.0
		21	18 41.1	203 12	29.86	30.10	77.5	77.8
		22	19 8.4	201 38	30.00	30.10	74.5	73.0
		23	19 28.3	199 54	29.95	30.15	75.0	74.0
		24	19 51.8	198 18.2	29.90	30.15	74.5	73.0
		25	20 25.3	196 16	29.90	30.20	73.0	72.0
		26	20 40	194 2	30.00	30.15	71.5	71.0
		27	21 3.7	191 47.3	30.00	30.15	72.0	72.5
		28	21 30	190 30	29.90	30.20	78.3	79.0
		29	21 11.15	188 12	30.00	30.25	71.0	70.0
		30	21 21.7	186 34	29.95	30.15	70.3	70.0
	10	7	22 04	184 41.3	29.80	30.10	75.0	76.5
		8	22 28	185 26	30.20	30.40	73.5	73.4
		9	22 45.2	182 59	29.95	30.20	70.5	69.8
		10	23 44.3	182 21	30.45	30.85	70.0	
		11	25 36	181 44	30.10	30.30	72.0	70.8
		12	27 13	180 54	30.05	30.25	70.8	70.0
		13		180 43.4	30.15	30.30	69.0	66.5
		14	30 16		30.20			
		15	31 41.2	179 55	30.20	30.35	69.0	68.0
		16	32 41.8	179 55	30.15	30.30	69.5	69.0
		17	33 46.7	180 47	30.05	30.35	69.0	66.0
		18	35 58	180 46				66.5
		19	37 47.4	179 46	29.60	29.85	64.0	60.5
		20	39 6	178 30	29.60	29.75	63.5	62.0
		21	40 14	176 46.3	29.10	29.25	62.5	59.0
		22	40 28	176 35	29.50	29.70	55.0	53.0
		23		176 12	29.15	29.50	61.5	60.3
		24	42 23		28.90	29.40	62.0	57.5
		25	42 27	175 16	29.40	29.65	58.0	54.0
		26	41 35	175 25	29.65	29.70	57.0	58.0
		27	42 17	175 16	28.90	29.35	59.0	58.0
		28	41 45.4	175 46	29.50	29.75	57.8	52.5
		29	42 17		29.25	29.55	59.0	58.5
		30	42 19		29.05	29.40	60.5	57.0
		31			29.20	29.25	57.0	50.7
	11	1			29.45		56.5	51.5
		26	43 26.6		29.75	30.20	62.0	62.0
		27			30.15	30.30	64.0	56.0
		28	44 36		30.00	30.20	64.0	55.0
		29	45 49		29.80	30.15	59.0	49.0
		30	47 4.3		29.80	30.20	59.0	49.5
	12	1	48 21.7		29.80	30.05	57.0	46.5
		2	48 56		29.30	30.00	56.5	47.0
		3			29.70	29.90	66.5	47.0
		4	50 14.4	180 64	29.65	29.85	62.3	46.5
		5	50 54.2	179 58	29.45	29.60	65.0	49.0
		6	53 7.2	180 43.15	28.90	29.10	63.5	49.0
		7	55 34	181 54.3	29.30	29.40	57.5	43.3
		8	58 2	182 21.4	28.55	28.90	59.0	44.5
		9			29.40	29.60	53.5	36.3
		10	60 44.4	187 10.4	29.00	29.15	51.5	39.5
		11	62 46.3	189 45	28.95	29.20	54.0	32.3
		12			28.80	29.05	51.0	32.0
		13	64 55	196 54	29.00	29.15	51.5	34.5
		14			28.70	29.05	54.0	31.0
		15	64 16		29.00	29.55	55.0	33.0
		16	64 35	204 47	29.00	29.15	55.0	33.8
		17			28.90	29.10	55.0	33.0
		18	64 47	210 27	28.60	28.90	57.5	34.0
		19	65 58	211 14.4		29.15	55.0	33.0
		20	66 48		28.55	28.80	55.0	31.0
		21	67 26		28.85	29.00	50.0	33.0
		22	67 12	221 46	29.10	29.35	55.0	35.0
		23		222 15	29.45	29.80	49.0	32.0
		24	66 21		29.10	29.30	50.0	34.0
		25	66 14	225 28	29.10	29.25	56.0	37.0
		26	65 53	226 12.3	28.90	29.10	53.0	35.0
		27			29.50	29.80	50.8	33.3
		28		225 29	28.50	28.75	48.0	33.0
		29			28.70	29.05	57.0	34.5
		30	59 40	224 21.4	29.00	29.10	54.0	30.5
		31	59 11.3	223 21	28.70	29.05	60.0	36.5
1774	1	1	57 58	222 28	29.00	29.10	61.0	38.3
		2	56 46.2	219 59	28.95	29.30	55.0	36.0
		3	54 55.2		29.20	29.35	54.0	46.4
		4	53 43.4	221 45.3			65.0	46.8
		5	51 59.4	225 00	29.10	29.35	52.0	47.0
		6	50 36.4	226 53	29.15	29.35	61.3	50.0
		7	49 7.4	226 56.3	29.35	29.60	61.5	49.5
		8	48 17	233 13			61.0	51.5
		9	48 54	235 30	29.45	29.70	64.0	52.5
		10	47 51	238 00	29.35	29.60	62.0	50.0
		11	49 34	243 32	29.60	29.80	63.3	50.0
		12	52 01				63.0	53.5
		13	53 55.2	240 37	29.22	29.60	63.3	51.3
		14			29.10	29.45	62.0	51.0
		15	56 18.2	240 52.4	29.60	29.95	61.5	47.8
		16	58 34	242 53			60.3	41.3
		17		243 00	28.80	29.00	60.0	40.0
		18			28.50	28.75	57.8	39.5
		19	62 34.3	243 43.3	28.40	28.65	60.0	40.0
		20	62 26.2	243 30.3			56.0	37.0
		21			28.60	28.80	55.5	37.5
		22	62 32	249 60.8	28.50	28.65	55.3	38.5
		23			28.45	28.70	57.5	39.0
		24	65 24.5	250 30				42.0
		25	66 35	250 22	28.95	29.15	58.5	40.0
		26	67 51.4		28.65	28.80	60.0	37.5
		27			28.75	28.95	59.0	36.0
		28	69 58	252 24	28.70		50.0	36.5
		29			28.75	28.85	56.0	32.0
		30	69 13		28.80	29.00	58.3	34.0
		31	68 01	254 48	28.80	28.90	58.3	35.0
	2	1	67 7.6					37.0
		2	66 25	258 31	28.85	28.95	57.0	35.0
		3	65 41.4	260 11	28.90	29.10	58.8	34.5
		4		260 00	28.60	28.85	58.3	38.5
		5	63 53.5					
		6	61 5.15	261 54.15	28.40	28.90	55.0	40.0
		7	58 04		28.95	29.30	57.0	41.5
		8			29.00	29.35	60.0	47.0
		9	53 36.4	262 38.15				
		10	51 37.6	264 16.15	29.05	29.40	62.6	51.0
		11	53 15	264 19	29.75	30.05	59.3	47.3
		12	50 12.7	263 39.4	29.90	30.10	60.5	52.0
		14	48 55	263 30	29.95	30.20	63.8	54.0
		15	47 45		29.90	30.10	59.5	56.0
		16	46 17	263 42	29.80	30.05	60.0	55.0
		17	44 10	266 38				
		18	42 05.3	264 7	30.35	30.40	60.3	52.5
		19	39 59.3	264 54.2	30.25	30.50	66.8	66.0
		20	37 53.8	266 17.3	30.30	30.55	68.5	67.5
		21	36 10.3					
		22	36 41.3	263 18	30.35	30.55	71.5	69.0
		23	37 27.2	262 30.4	30.20	30.35	73.3	71.0
		24	37 53.4	260 14	29.85	30.05	71.0	69.0
		25	36 39.4					
		26	34 54	258 41	30.05	30.35	68.8	68.3
		27	33 09	257 44	30.05	30.40	72.0	71.5
		28	32 17	257 52.15	30.10	30.30	74.3	71.8
	3	1	31 13.2					
		2	30 36.15	258 24	30.15	30.30	75.0	74.0
		3	29 58.3	259 13	30.20	30.40	75.8	74.5
		4	29 44.3	259 12.3	30.20	30.40	77.3	75.0
		5	29 21.4	258 55			76.0	
		6	28 19.3	257 54	30.20	30.40	75.8	74.5
		7	27 01	256 00	30.10	30.15	76.0	75.5
		8	27 06.3	254 35	30.30	30.45	76.1	77.0
		9	27 9.2	252 33			76.0	75.0
		10	27 10	251 23.4	30.20	30.40	76.5	75.0
		11	27 17.3		30.20	30.35	75.8	75.3
		16	26 48	249 2.3	30.20	30.40	77.3	77.0
		17	26 4.3		30.25	30.40	78.0	76.5
		18	24 51.3	248 5.15	30.15	30.35	77.5	77.0
		19	23 1.3	247 18	30.05	30.35	77.5	77.0
		20	21 3.3	246 24	30.05	30.45	78.5	77.0
		21	19 21		30.05	30.35	78.0	76.3
		22	18 9.3	244 00.3	30.00	30.20	79.0	77.5
		23	17 6.4	242 54	30.05	30.30	78.5	77.0
		24	16 01.3	241 37	30.10	30.25	79.0	78.0
		25	14 45.4	240 11.4	30.00	30.20	78.5	78.5
		26	13 12.3	238 36.3	29.90	30.15	79.5	80.0
		27	11 45.2	237 04	30.00	30.10	80.8	80.0
		28	10 20.15	236 47.3	29.85	30.10	81.0	81.0
		29	9 22.1	234 42	29.90	30.15	80.5	80.5
		30	9 17.6	232 1.1	29.95	30.05	80.5	80.5
		31	9 29.2	229 5	29.80	30.05	80.3	80.0
	4	1	9 28.5	228 24.3	29.85	30.05	81.0	81.5
		2	9 32.2	226 57	29.95	30.10	81.8	82.0
		3	9 32.1	225 2.3	29.90	30.10	82.0	82.8
		4	9 33.2	223 22	29.90	30.10	83.0	83.0
		5	9 19.3	221 27	29.90	30.05	83.0	83.3
		6		221 16	29.90	30.10	81.0	
		12	10 55.2	220 3.3	29.90	30.05	83.3	82.3
		13	12 24.4	219 5.3	29.80	30.00	83.0	82.3
		14	13 4.2	217 12.3	29.90	30.15	83.0	83.0
		15	14 17.5	216 3.5	29.90	30.15	82.5	83.5
		16	14 26.2	215 23	29.90	30.10	83.0	83.0
		17	14 56	214 24	30.00	30.15	83.3	82.8
		18	15 38.15	213 28	30.00	30.20	82.0	82.3
		19		212 35	30.00	30.15	79.5	81.0
		20	17 32	210 55.2	30.00	30.20	82.0	82.3
		21			30.03		80.5	80.0
	6	4	16 48	207 10	29.80	30.15	81.5	82.5
		5	16 49.5	205 52	29.90	30.10	82.5	82.5
		6		204 36.4	29.75	29.95	81.5	81.5
