	"Journal on the Investigator, Jan. 1801-July 1802 (Vol. 1) - Matthew Flinders"									
	"Journal on the Investigator, July 1802 - June 1803 (Vol. 2)"									
										
		"""The barometer stood in my cabin, and the height of the mercury was taken at"								
		"daybreak, at noon, and at eight in the evening, by the officer of the watch; as"								
		"well also that of the thermometer."""								

YEAR	MONTH	DAY	HOUR	LAT D.R.	LONG D.R.	BAR	THER.	WATER		
1801	6	2	1200	Into Spithead			62.5			
			1600				60.0
			2000			30.09	60.0
			2400				64.0
		3	400				66.0
			800			30.02	65.0
			1200	31 16	20 34		64.0
			1600				63.0
			2000			29.93	59.0
			2400				60.0
		4	400				62.0
			800			29.80	60.0
			1200	32 32	17 19	29.88	58.0
			1600				58.0
			2000			29.93	56.0
			2400				56.0
		5	400				61.0
			800			30.03	60.0
			1200	33 26	14 56	30.04	54.0
			1600				56.0
			2000			30.00	56.0
			2400				56.0
		6	400				58.0
			800			30.02	56.0
			1200	34 30	13 48		57.0
			1600				55.0
			2000			30.00	59.0
			2400				59.0
		7	400				68.0
			800			30.05	62.0
			1200	35 9	12 9		61.0
			1600				60.0
			2000			30.03	60.0
			2400				59.0
		8	400				60.0
			800			30.07	61.0
			1200	35 16	8 52		59.0
			1600				59.0
			2000			30.09	59.0
			2400				59.0
		9	400				61.0
			800			30.10	59.0
			1200	35 7	5 6		58.0
			1600				57.0
			2000			30.09	57.0
			2400				58.0
		10	400				58.0
			800			30.14	56.0
			1200	35 29	1 13		53.0
			1600				56.0
			2000			30.13	56.0
			2400				57.0
		11	400				62.0
			800			30.14	55.0
			1200	35 7	1 36 E		58.0
			1600				51.0
			2000			30.22	50.0
			2400				51.0
		12	400				57.0
			800			30.24	55.0
			1200	34 52	5 3		55.0
			1600				54.0
			2000			30.23	54.0
			2400				54.0
		13	400				62.0
			800			30.20	58.0
			1200	35 3	8 8		56.0
			1600				55.0
			2000			30.13	55.0
			2400				56.0
		14	400				56.0
			800			30.20	56.0
			1200	34 48	9 20		55.0
			1600				55.0
			2000			30.22	55.0
			2400				56.0
		15	400				58.0
			800			30.28	56.0
			1200	34 41	10 28		53.0
			1600				53.0
			2000			30.22	54.0
			2400				56.0
		16	400				57.0
			800			30.16	59.0
			1200	35 21	12 37		57.0
			1600				56.0
			2000			30.05	57.0
			2400				56.0
		17	400				58.0
			800			30.11	
			1200	34 49	15 48		
			1600				
			2000				
			2400				
		18	400	False Bay			
			800				
			1200				
			1600				
			2000				
			2400				
		19	400				
			800			30.07	59.0
			1200				
			1600				
			2000				
			2400				
		20	400				
			800				
			1200				
			1600				
			2000				
			2400				
		21	400				
			800				
			1200				
			1600				
			2000			30.07	61.0
			2400				
		22	400				
			800			30.05	67.0
			1200				
			1600				
