	"Journal on the Investigator, Jan. 1801-July 1802 (Vol. 1) - Matthew Flinders"									
	"Journal on the Investigator, July 1802 - June 1803 (Vol. 2)"									
										
		"""The barometer stood in my cabin, and the height of the mercury was taken at"								
		"daybreak, at noon, and at eight in the evening, by the officer of the watch; as"								
		"well also that of the thermometer."""								

YEAR	MONTH	DAY	HOUR	LAT D.R.	LONG D.R.	BAR	THER.	WATER		
1801	6	2	1200	Into Spithead			62.5			
			2000			30.05	75.0
			2400				
		23	400				
			800			30.02	81.0
			1200				
			1600				
			2000				
			2400				
		24	400				
			800			29.97	67.0
			1200				
			1600				
			2000				
			2400				
		25	400				
			800			30.00	68.0
			1200				
			1600				
			2000				
			2400				
		26	400				
			800			29.93	63.0
			1200				
			1600				
			2000				
			2400				
		27	400				
			800			30.22	60.0
			1200				
			1600				
			2000			30.34	60.0
			2400				
		28	400				
			800			30.35	62.0
			1200				
			1600				
			2000			30.05	60.0
			2400				
		29	400				
			800			30.00	64.0
			1200				
			1600				
			2000				
			2400				
		30	400				
			800			30.01	64.0
			1200				
			1600				
			2000				
			2400				
		31	400				
			800				
			1200				
			1600				
			2000				
			2400				
	11	1	400				
			800			30.23	64.5
			1200				
			1600				
			2000				
			2400				
		2	400				
			800			30.06	65.0
			1200				
			1600				
			2000				
			2400				
		3	400				
			800			30.00	70.0
			1200				
			1600				
			2000				
			2400				
		4	400				
			800			30.00	66.0
			1200				
			1600				
			2000				
			2400				
		5	400				
			800			30.09	67.0
			1200				
			1600				
			2000			30.13	59.0
			2400				
		6	400				
			800			30.14	57.0
			1200	34 40	18 46	30.06	68.0
			1600				
			2000			30.02	57.0
			2400				
		7	400				
			800			29.92	57.0
			1200	36 00	20 52	29.93	66.0
			1600				
			2000			29.90	60.0
			2400				
		8	400				
			800			29.84	60.0
			1200	36 34	23 57	29.87	64.0
			1600				
			2000			29.86	60.0
			2400				
		9	400				
			800			29.90	55.0
			1200	36 45	27 33	30.01	57.0
			1600				
			2000			30.12	54.0
			2400				
		10	400				
			800			30.29	54.0
			1200	36 36	30 32	30.27	64.0
			1600				
			2000			30.25	61.0
			2400				
		11	400				
			800			30.11	59.0
			1200	36 39	33 02	29.97	65.0
			1600				
			2000			29.83	64.0
			2400				
		12	400				
			800			29.73	64.0
			1200	36 48	36 37	29.75	61.0
			1600			29.84	62.0
			2000			29.93	58.0
			2400				
		13	400				
			800			30.00	62.0
			1200	36 54	37 56	30.07	64.0
			1600				
			2000			30.04	65.0
			2400				
		14	400				
			800			30.05	65.0
			1200	36 52	40 23	30.07	73.0
			1600				
			2000			30.07	65.0
			2400				
		15	400				
			800			30.05	66.0
			1200	37 33	42 34	30.07	74.0
			1600				
			2000			30.01	64.0
			2400				
		16	400				
			800			29.80	65.0
			1200	37 50	45 20	29.72	69.0
			1600				
			2000			29.71	68.0
			2400				
		17	400				
			800			29.76	65.0
			1200	37 40	49 2	29.85	65.0
			1600				
			2000			29.96	65.0
			2400				
		18	400				
			800			30.10	63.0
			1200	37 32	52 22	30.22	64.0
			1600				
			2000			30.26	63.0
			2400				
		19	400				
			800			30.28	62.0
			1200	37 32	54 4	30.30	65.0
			1600				
			2000			30.23	66.0
			2400				
		20	400				
			800			30.10	63.0
			1200	37 49	57 52	29.96	66.0
			1600				
			2000				
			2400			29.78	67.0
		21	400				
			800			29.78	
			1200	38 6	61 2	29.84	63.0
			1600				
			2000			29.88	64.0
			2400				
		22	400				
			800			29.86	63.0
			1200	37 57	64 7	29.90	64.0
			1600				
			2000			29.97	67.0
			2400				
		23	400				
			800			29.90	65.0
			1200	37 46	67 43	30.05	66.0
			1600				
			2000			30.14	68.0
			2400				
		24	400				
			800			30.18	66.0
			1200	37 57	69 59	30.20	66.0
			1600				
			2000			30.14	65.0
			2400				
		25	400				
			800			30.12	65.0
			1200	38 19	73 34	30.13	66.0
			1600				
			2000			30.12	67.0
			2400				
		26	400				
			800			30.09	65.0
			1200	38 36	76 12	29.98	66.0
			1600				
			2000			29.99	66.0
			2400				
		27	400				
			800			29.95	65.0
			1200	38 12	79 37	29.95	65.0
			1600				
			2000			30.00	64.0
			2400				
		28	400				
			800			30.02	62.0
			1200	37 48	82 32	30.04	64.0
			1600				
			2000			30.05	64.0
			2400				
		29	400				
			800			30.02	62.0
			1200	37 21	85 34	30.03	64.0
			1600				
			2000			30.02	65.0
			2400				
		30	400				
			800			29.99	61.0
			1200	37 1	88 22	29.84	65.0
			1600				
			2000			29.69	65.0
			2400				
	12	1	400				
			800			29.70	61.0
			1200	36 27	92 11	29.78	59.0
			1600				
			2000			29.93	59.0
			2400				
		2	400				
			800			29.97	56.0
			1200	36 9	95 9	29.94	59.0
			1600				
			2000			29.75	58.0
			2400				
		3	400				
			800			29.60	61.0
			1200	35 54	99 2	29.61	61.0
			1600				
			2000			29.65	59.0
			2400				
		4	400				
			800			29.75	57.0
			1200	35 54	102 39	29.88	57.0
			1600				
			2000			29.88	56.0
			2400				
		5	400				
			800			29.86	61.0
			1200	35 39	105 57	29.83	64.0
			1600				
			2000			29.84	66.0
			2400				
		6	400				
			800			29.84	63.0
			1200	35 41	109 6	29.90	66.0
			1600				
			2000			29.91	67.0
			2400				
		7	400				
			800			29.91	65.0
			1200	35 25	111 29	29.92	67.0
			1600				
			2000			29.90	66.0
			2400				
		8	400				
			800			29.85	66.0
			1200	34 45	112 10	29.89	68.0
			1600				
			2000			29.96	68.0
			2400				
		9	400				
			800			30.17	66.0
			1200	35 11	113 2	30.18	66.0
			1600				
			2000			30.08	65.5
			2400				
		10	400				
			800			30.01	66.0
			1200	35 11	113 57		
			1600				
			2000				
			2400				
		11	400				
			800				
			1200	King Georges Sound			
			1600				
			2000				
			2400				
		12	400				
			800			30.20	66.0
			1200	Princess Royal Harbour			
			1600				
			2000				
			2400				
		13	400				
			800			30.20	68.0
			1200				
			1600				
			2000				
			2400				
		14	400				
			800			29.98	70.5
			1200				
			1600				
			2000				
			2400				
		15	400				
			800			29.98	68.0
			1200				
			1600				
			2000			29.90	67.0
			2400				
		16	400				
			800			29.99	68.0
			1200			30.04	68.0
			1600				
			2000				
			2400				
		17	400				
			800			29.97	67.0
			1200			29.88	70.5
			1600				
			2000			29.40	66.0
			2400				
		18	400				
			800			29.42	69.0
			1200			29.51	63.5
			1600				
			2000			29.66	58.5
			2400				
		19	400				
			800			29.72	60.5
			1200			29.84	62.5
			1600				
			2000			29.84	62.0
			2400				
		20	400				
			800			29.84	64.0
			1200			29.87	67.0
			1600				
			2000			29.89	65.0
			2400				
		21	400				
			800			29.82	69.0
			1200			29.86	68.0
			1600				
			2000			29.92	63.0
			2400				
		22	400				
			800			30.00	68.0
			1200			30.02	65.0
			1600				
			2000			30.02	62.0
			2400				
		23	400				
			800			30.01	64.0
			1200			30.02	63.0
			1600				
			2000			30.16	62.0
			2400				
		24	400				
			800			30.28	63.0
			1200			30.18	64.0
			1600				
			2000			30.04	64.0
			2400				
		25	400				
			800			29.88	70.0
			1200			29.89	68.0
			1600				
			2000			29.78	70.0
			2400				
		26	400				
			800			29.90	66.0
			1200			29.98	63.0
			1600				
			2000			30.05	65.0
			2400				
		27	400				
			800			30.05	64.0
			1200			29.96	63.0
			1600				
			2000			29.95	63.0
			2400				
		28	400				
			800			29.97	65.0
			1200			29.97	65.0
			1600				
			2000			29.97	65.0
			2400				
		29	400				
			800			29.96	67.0
			1200			29.96	64.0
			1600				
			2000			29.94	66.0
			2400				
		30	400				
			800			29.94	66.0
			1200			30.04	66.0
			1600				
			2000			30.16	64.0
			2400				
		31	400				
			800			30.14	67.0
			1200			30.18	66.0
			1600				
			2000			30.05	64.0
			2400				
1802	1	1	400				
			800			29.95	67.0
			1200			29.90	68.0
			1600				
			2000			29.90	65.0
			2400				
		2	400				
			800			29.90	68.0
			1200			29.88	68.0
			1600				
			2000			29.74	66.0
			2400				
		3	400				
			800			29.68	69.0
			1200			29.69	68.0
			1600				
			2000			29.69	66.0
			2400				
		4	400				
			800			29.64	68.0
			1200			29.68	69.0
			1600				
			2000			29.78	66.0
			2400				
		5	400				
			800			29.82	64.0
			1200				
			1600				
			2000				
			2400				
		6	400				
			800			29.89	64.0
			1200				
			1600				
			2000			30.00	62.0
			2400				
		7	400				
			800			30.10	65.0
			1200	34 43	119 00	30.09	66.0
			1600				
			2000			29.99	64.0
			2400				
		8	400				
			800			29.98	68.0
			1200	34 25	119 30	29.90	68.0
			1600				
			2000			29.90	67.0
			2400				
		9	400				
			800			29.95	67.0
			1200	34 10	120 21	29.95	68.0
			1600				
			2000			29.99	65.0
			2400				
		10	400				
			800			30.03	68.0
			1200	34 13	121 6		
			1600				
			2000			30.02	69.0
			2400	D'Entrecasteaux Archipelago			
		11	400				
			800			30.08	71.0
			1200			30.19	71.0
			1600				
			2000			30.13	68.0
			2400				
		12	400				
			800			30.23	68.0
			1200				
			1600				
			2000				
			2400				
		13	400				
			800				
			1200				
			1600				
			2000			30.10	65.0
			2400				
		14	400				
			800			30.14	70.0
			1200			29.94	71.0
			1600				
			2000			29.92	68.0
			2400				
		15	400				
			800			29.89	71.0
			1200	34 1	122 41		
			1600				
			2000			29.88	70.0
			2400				
		16	400				
			800			29.85	65.0
			1200	34 8	123 8	29.90	70.0
			1600				
			2000			29.99	65.0
			2400				
		17	400				
			800			29.99	67.0
			1200	33 58	123 45		
			1600				
			2000			29.99	68.0
			2400				
		18	400				
			800			29.95	68.0
			1200	33 17	124 13	29.91	70.5
			1600				
			2000			29.85	70.0
			2400				
		19	400				
			800			29.81	69.0
			1200	32 57	124 59	29.85	70.0
			1600				
			2000			29.90	70.0
			2400				
		20	400				
			800			29.90	67.0
			1200	32 45	125 35	30.04	68.0
			1600				
			2000			30.02	69.0
			2400				
		21	400				
			800			29.91	67.0
			1200	32 38	125 57	30.00	70.0
			1600				
			2000			29.91	71.0
			2400				
		22	400				
			800			29.87	69.0
			1200	32 35	126 28	29.82	73.0
			1600				
			2000			29.65	74.0
			2400				
		23	400				
			800			29.79	73.0
			1200	32 30	127 21	29.84	74.0
			1600				
			2000			29.95	70.0
			2400				
		24	400				
			800			30.07	68.0
			1200	32 14	128 23	30.16	70.0
			1600				
			2000			30.15	68.0
			2400				
		25	400				
			800			30.07	66.0
			1200	32 11	128 29	29.95	68.0
			1600				
			2000			29.84	70.0
			2400				
		26	400				
			800			29.73	69.0
			1200	31 48	129 11	29.76	76.0
			1600				
			2000			29.85	71.0
			2400				
		27	400				
			800			29.84	67.0
			1200	31 48	130 55	29.94	68.0
			1600				
			2000			29.95	70.0
			2400				
		28	400				
			800			29.93	68.0
			1200	32 1	131 28	29.95	69.5
			1600				
			2000			29.95	71.0
			2400				
		29	400				
			800			29.99	69.5
			1200	32 2	131 57	30.02	71.0
			1600				
			2000			30.02	70.0
			2400				
		30	400				
			800			30.01	69.0
			1200	32 15	132 44	29.96	72.0
			1600				
			2000			29.96	72.0
			2400				
		31	400				
			800			29.98	72.0
			1200	32 17	133 9	29.96	72.0
			1600				
			2000			29.93	71.0
			2400				
	2	1	400				
			800			29.98	70.0
			1200	32 23	133 24	29.97	72.0
			1600				
			2000			29.93	72.0
			2400				
		2	400				
			800			29.87	70.0
			1200	32 33	133 42	29.83	72.0
			1600				
			2000			29.80	73.0
			2400				
		3	400				
			800			29.75	72.0
			1200	32 35	134 6	29.74	75.0
			1600			29.74	78.0
			2000			29.76	76.0
			2400				
		4	400				
			800			29.74	78.0
			1200				
			1600				
			2000			29.67	82.0
			2400				
		5	400				
			800			29.70	76.0
			1200	32 34	134 33	29.65	80.0
			1600				
			2000			29.62	82.0
			2400				
		6	400				
			800			29.64	76.5
			1200	32 27	134 20	29.60	82.0
			1600				
			2000			29.62	83.0
			2400				
		7	400				
			800			29.65	81.0
			1200	32 28	134 20	29.70	83.5
			1600				
			2000			29.73	82.0
			2400				
		8	400				
			800			29.69	80.0
			1200	32 30	134 6	29.70	82.0
			1600				
			2000			29.73	83.5
			2400				
		9	400				
			800			29.70	80.0
			1200	32 50	134 25	29.77	77.5
			1600				
			2000			29.74	73.0
			2400				
		10	400				
			800			29.78	73.0
			1200	33 14	135 13	29.87	73.0
			1600				
			2000			29.86	70.0
			2400				
		11	400				
			800				
			1200	33 35	135 24	29.94	68.5
			1600				
			2000			29.95	68.5
			2400				
		12	400				
			800			29.95	66.0
			1200	33 36	135 13	30.00	67.5
			1600				
			2000			30.04	67.0
			2400				
		13	400				
			800			30.05	67.5
			1200	33 43	135 14	30.08	68.0
			1600				
			2000			30.09	68.0
			2400				
		14	400				
			800			30.09	65.0
			1200	33 40	135 18	30.12	65.0
			1600				
			2000			30.14	66.0
			2400				
		15	400				
			800			30.16	65.0
			1200	33 54	135 36	30.13	66.5
			1600				
			2000			30.00	68.0
			2400				
		16	400				
			800			29.96	67.0
			1200	34 33	136 10	30.00	69.0
			1600				
			2000			30.04	71.0
			2400				
		17	400				
			800			30.04	68.0
			1200	34 49	136 9	30.10	66.5
			1600				
			2000			30.08	68.0
			2400				
		18	400				
			800			30.10	66.0
			1200	35 4	136 27	30.05	68.0
			1600				
			2000			30.00	69.0
			2400				
		19	400				
			800			29.90	67.5
			1200	35 12	136 36	29.92	69.0
			1600				
			2000			29.88	69.0
			2400				
		20	400				
			800			29.86	68.0
			1200	35 6	137 00		
			1600				
			2000			29.86	67.5
			2400				
		21	400				
			800			29.93	65.0
			1200	34 56	137 18		
			1600				
			2000			29.94	67.0
			2400				
		22	400				
			800			29.94	66.5
			1200	34 56	137 18	29.86	66.0
			1600				
			2000			29.90	69.0
			2400				
		23	400				
			800			29.91	67.0
			1200	Memory Cove		29.91	67.0
			1600				
			2000			30.05	69.5
			2400				
		24	400				
			800			30.23	66.5
			1200			30.23	66.5
			1600				
			2000			30.36	67.0
			2400				
		25	400				
			800			30.27	66.0
			1200				
			1600				
			2000			30.20	66.0
			2400				
		26	400				
			800			30.17	67.0
			1200				
			1600				
			2000			30.15	69.0
			2400				
		27	400				
			800			30.16	67.5
			1200	34 50	136 14	30.11	72.0
			1600				
			2000				
			2400				
		28	400				
			800			30.03	70.0
			1200			30.00	74.0
			1600				
			2000			29.97	75.0
			2400				
	3	1	400				
			800			29.95	75.0
			1200			29.95	78.0
			1600				
			2000			29.94	75.0
			2400				
		2	400				
			800			29.96	70.0
			1200			29.98	76.0
			1600				
			2000			30.07	71.5
			2400				
		3	400				
			800			30.08	73.5
			1200			29.98	76.5
			1600				
			2000			29.94	69.0
			2400				
