	S.M.S. PLANET 1906/1907							

Pg. 3								

YEAR	MONTH	DAY	HOUR	LAT	LONG	BAR	TEMP (C)	SST
		11	400			759.3	25.8	27.0
			800			760.8	26.0	26.5
			1200	7 51	5 28	760.8	26.0	26.9
			1600			759.7	26.0	26.3
			2000			761.9	26.0	25.9
			2400			761.7	25.5	
		12	400			759.9	25.5	25.8
			800			761.8	25.5	25.7
			1200	9 23	5 42	761.3	25.8	26.0
			1600			760.1	27.7	26.2
			2000			761.2	25.4	26.0
			2400			761.1	25.8	25.8
		13	400			760.6	24.5	25.7
			800			761.5	23.5	25.7
			1200	11 16	5 47	761.8	24.8	25.9
			1600			759.9	25.0	26.1
			2000			761.0	24.5	25.7
			2400			761.4	24.6	25.5
		14	400			760.1	24.3	25.5
			800			761.0	23.7	24.5
			1200	13 49	5 53	760.0	23.8	25.4
			1600			760.5	23.9	24.2
			2000			761.2	23.7	24.0
			2400			761.2	23.3	23.6
		15	400			760.5	23.1	23.7
			800			762.2	26.6	24.0
			1200	"Jamestown, St Helena"		762.6	24.4	25.6
			1600			760.9	24.4	24.1
			2000			764.4	23.4	23.8
			2400			763.1	23.0	23.9
		18	1200	"Jamestown, St Helena"		763.0	24.5	25.2
			1600			761.8	24.7	25.3
			2000			762.5	23.1	24.8
			2400			762.6	23.0	24.5
		19	400			761.5	22.3	
			800			762.6	22.5	24.5
			1200	16 37	4 38	762.1	22.4	24.5
			1600			759.7	22.0	24.0
			2000			760.0	22.3	23.6
			2400			760.9	22.4	23.0
		20	400			760.2	22.0	23.4
			800			760.8	22.1	23.2
			1200	16 59	2 56	759.3	20.6	23.3
			1600			758.5	22.8	24.0
			2000			760.8	22.2	23.2
			2400			760.2	22.0	22.8
		21	400			759.4	21.7	22.9
			800			762.2	22.2	23.2
			1200	17 24	0 32	760.5	22.0	23.5
			1600			759.3	22.2	23.5
			2000			760.8	21.6	23.2
			2400			761.4	22.1	23.0
		22	400			759.7	22.0	22.9
			800			762.1	22.0	22.9
			1200	17 27	1 50 E	761.8	22.7	23.4
			1600			760.8	22.3	23.6
			2000			763.4	22.5	
			2400			762.8	22.1	
		23	400			762.2	23.5	22.5
			800			763.0	21.9	22.6
			1200	19 20	2 17	762.0	22.4	22.6
			1600			761.3	22.2	22.4
			2000			762.5	21.7	22.2
			2400			762.9	21.7	22.0
		24	400			761.5	21.0	21.3
			800			762.8	21.4	21.3
			1200	21 7	3 25	761.4	22.0	22.3
			1600			760.8	21.8	22.2
			2000			761.2	21.9	22.0
			2400			761.8	21.7	21.7
		25	400			761.8	21.3	21.2
			800			762.7	22.1	22.0
			1200	22 7	5 0	763.3	22.4	22.2
			1600			761.9	21.6	22.4
			2000			763.4	21.1	22.1
			2400			764.5	20.5	22.0
		26	400			763.2	20.8	21.7
			800			764.6	21.0	21.5
			1200	23 18	6 5	765.3	21.4	22.1
			1600			765.0	21.2	22.0
			2000			765.1	20.9	21.9
			2400			765.3	20.6	21.6
		27	400			764.5	20.0	21.4
			800			766.0	20.1	21.2
			1200	24 19	7 25	765.8	20.9	21.5
			1600			764.5	22.6	21.5
			2000			765.0	20.4	21.0
			2400			763.9	20.5	20.9
		28	400			763.0	20.1	21.0
			800			763.4	21.0	21.3
			1200	22 33	7 51	762.3	22.6	22.0
			1600			761.3	24.1	21.5
			2000			761.5	20.6	21.3
			2400			761.5	20.5	21.0
		29	400			762.0	20.2	21.0
			800			762.5	21.0	21.5
			1200	20 37	8 12	761.7	22.0	21.7
			1600			760.6	21.8	21.9
			2000			762.0	20.8	21.1
			2400			762.9	20.5	21.0
		30	400			762.8	20.0	21.0
			800			763.5	20.6	21.7
			1200	22 37	9 40	762.9	21.5	22.0
			1600			761.3	20.8	22.3
			2000			762.2	20.8	21.1
			2400			762.4	22.0	21.1
		31	400			762.5	20.0	21.0
			800			762.3	20.0	21.0
			1200	24 57	11 14	762.3	20.4	21.9
			1600			761.3	20.2	20.7
			2000			761.4	19.8	20.6
			2400			761.8	19.8	20.5
	4	1	400			761.0	20.0	20.5
			800			762.0	20.3	20.1
			1200	27 3	12 46	761.5	20.3	20.4
