HMS EREBUS - VOYAGE TO SOUTHERN AND ANTARCTIC REGIONS								

YEAR	MONTH	DAY	LAT	LONG	MEAN TEMP	MEAN SST	MEAN 	
					F	F	BAROMETER	(corrected)
		5			52.90	56.10	30.412
		6			53.20	55.40	30.316
		7			57.00	56.60	30.133
		8			56.30	57.00	30.030
		9			57.90	57.20	29.868
		10			55.10	56.50	29.816
		11			56.50	57.40	29.835
		12			55.80	56.90	30.021
		13			55.00	57.80	30.038
		14			60.30	59.20	29.930
		15			58.20	58.50	29.522
		16			54.00	56.80	29.426
		17			53.50	56.00	29.736
		18			55.10	55.50	29.867
		19			52.00	55.40	30.063
		20			52.50	55.50	30.077
		21			55.30	55.80	30.009
		22			56.70	57.20	30.043
		23			56.00	57.60	30.180
		24			54.10	58.00	30.211
		25			57.40	57.50	30.249
		26			57.40	56.70	30.356
		27			58.00	57.10	30.404
		28			57.70	57.10	30.417
		29			58.00	57.80	30.421
		30			58.70	57.00	30.342
		Mean					
					55.33	56.60	30.104
							
1841	10	1			59.60	57.60	30.186
		2			60.10	57.80	29.918
		3			62.00	59.60	29.852
		4			58.90	59.20	29.772
		5			55.70	58.30	29.843
		6			54.30	57.70	29.979
		7			56.00	57.60	30.115
		8			56.30	57.90	30.214
		9			57.00	58.20	30.152
		10			60.20	58.20	30.111
		11			63.90	59.20	30.094
		12			56.30	59.50	30.247
		13			57.90	59.10	30.142
		14			60.00	59.60	30.176
		15			59.00	60.60	30.224
		16			61.00	61.50	30.183
		17			63.00	61.10	29.968
		18			63.70	61.60	29.771
		19			62.22	62.03	29.633
		20			62.67	62.80	29.901
		21			65.35	64.10	30.114
		22			66.88	65.03	30.074
		23			64.26	66.28	30.154
		24			66.62	66.10	30.095
		25			64.50	66.22	30.122
		26			60.62	65.64	30.203
		27			61.70	64.26	30.032
		28			57.08	63.29	29.738
		29			59.74	62.98	29.722
		30			62.96	63.76	29.815
		31			63.70	63.34	29.834
		Mean					
					60.75	61.29	30.012
							
1841	11	1			61.30	62.42	29.902
		2			57.00	62.02	29.981
		3			58.17	61.32	30.055
		4			57.30	60.72	30.043
		5			62.50	60.82	29.918
		6			59.47	60.46	29.902
		7			59.62	61.26	30.017
		8			59.50	60.34	29.972
		9			54.67	60.19	29.999
		10			58.70	61.52	29.940
		11			62.00	60.72	29.915
		12			60.22	61.10	29.873
		13			60.57	61.29	29.855
		14			58.13	61.22	29.678
		15			54.00	60.07	29.245
		16			56.07	59.42	29.527
		17			56.70	59.32	29.870
		Mean					
					58.58	60.84	29.864
							
1841	12	1	45  40  	176  41 W	55.90	53.30	30.030
		2	47  21  	175  23   	53.40	52.30	30.351
		3	48  47  	173  36   	51.00	51.70	30.367
		4	49  24  	172  24   	49.70	52.20	30.138	
		5	49  27  	170  47   	51.50	50.50	29.936	
		6	50  01  	168  40   	51.60	49.60	29.722	
		7	50  48  	167  40   	47.20	47.40	29.647	
		8	51  36  	165  28   	45.70	47.80	29.541	
		9	52  32  	161  20   	39.90	46.20	29.283	
		10	53  01  	157  49   	40.50	45.60	29.341	
		11	52  50  	156  08   	41.40	44.60	29.789	
