	"METEOROLOGICAL OBSERVATIONS, BY THE UNITED STATES EXPLORING EXPEDITION"														
	U.S. SHIP VINCENNES 														

Pg. 1															

															
YEAR	MONTH	DAY	HOUR	LAT	LONG	THERMOMETERS					WIND				
				North	West	Air	Water	Masthead	Barom	Hygrom	Direct	Force	 Clouds	Weather	Remarks
			1800			75.0	79.0								
			1900			74.0	78.0								
			2000			73.0	76.0								
			2100			73.0	77.0	72.0	30.200	78°60°					
			2200			73.0	77.0								
			2300			73.0	77.0								
			2400			73.3	77.5								
			Mean.			73.3	77.5	74.3	30.150						
						73.3	77.5	74.33	30.150						
		29	100			73.0	77.0				Sd.	3	Cum. st.	b.c.	Course N. 88°E
			200			73.0	77.0								
			300			73.0	76.0	72.0	30.200	78° 64°					
			400			73.0	76.0								
			500			74.0	77.0					4			
			600			75.0	78.0								
			700			74.0	78.0								
			800			75.0	80.0								
			900			76.0	77.5	76.0	30.250	78° 64°					
			1000			78.0	77.5							c.	
			1100	37 00	57 05	78.0	77.5								
			1200			76.0	76.5				Sd. &Ed.				
			1300			77.0	77.0								
			1400			78.0	76.0								
			1500			78.0	77.0	78.0	30.250	79°65°					
			1600			78.0	77.0								
			1700			77.0	76.0								
			1800			76.0	77.0					3		o.	
			1900			76.0	77.0								
			2000			76.0	77.0								
			2100			76.0	77.0		30.300	80° 65°					
			2200			76.0	77.0								
			2300			76.0	77.0								
			2400			76.0	77.0								
			Mean.			75.8	77.1	75.3	30.250						
						75.8	77.1	75.33	30.250						
		30	100			74.0	77.0				Var.	2	Nimbi.	c.p.	Course N. 70° E
			200			74.0	77.0								
			300			75.0	77.0	70.0	30.250	80° 65°			Cirri	c.	
			400			75.0	77.0								
			500			76.0	77.0				Sd.&Ed.				Current easterly
			600			77.0	77.0					4			
			700			78.0	77.0							b.	
			800			79.0	77.0								
			900			79.0	77.0	78.0	30.290	78° 66°					"Spoke an English brig, standing"
			1000			79.0	77.0								to the northward
			1100			81.0	77.0					5			
			1200	37 43	54 36	81.0	77.0				Sd.				
			1300			78.0	78.0								
			1400			78.0	78.0								
			1500			78.0	78.0	82.0	30.250	83° 68°					
			1600			77.0	78.0								
			1700			78.0	77.0								
			1800			77.0	77.0								
			1900			77.0	77.0								
			2000			77.0	77.0						Cum.st.	c.	
			2100			76.0	77.0								
			2200			76.0	77.0								
			2300			76.0	77.0	75.0	30.250	80° 65°		4			
			2400			75.0	77.0								
			Mean.			77.36	77.2	76.25	30.260						
						77.13	77.2	76.25	30.260						
		31	100			75.0	75.0								
			200			75.0	76.0				Sd.	4	Cum.st.	b.c.	
			300			75.0	76.0	73.0	30.150	78° 66°					
			400			75.0	75.0								
			500			75.0	77.0					5			Course N.83° E
			600			76.0	77.0								
			700			76.0	77.0								
			800			77.0	77.0								
			900			79.0	77.0	76.0	30.180	81° 67°				Haxy	
			1000			81.0	78.0								
			1100			81.0	78.0							c.	Passed four vessels
			1200	37 59	51 24	81.0	78.0								steering NE
			1300			80.0	77.0					4			
			1400			79.0	77.0					5			No current
			1500			79.0	77.0	80.0	30.150	80° 66° 	S. by W.		Cumuli		
			1600			79.0	77.0								
			1700			78.0	77.0								
			1800			77.0	77.0								
			1900			77.0	76.0								
			2000			77.0	76.0								
			2100			76.0	76.0								
			2200			76.0	76.0								
			2300			76.0	76.0		30.150	80° 71° 					
			2400			76.0	77.0						Cirri		
			Mean.			77.33	76.66	76.3	30.157						
						77.33	76.67	76.33	30.158						
	9	1	100			76.0	77.5				S. by W.	6	Nimbi.	c.	Course east
			200			76.0	77.0								
			300			76.0	77.0	74.0	30.150	80° 71°					
			400			76.0	77.0								
			500			76.0	77.0								
			600			76.0	77.0								
			700			76.0	77.0								
			800			76.0	77.0								
			900			77.0	77.0		30.200	77°72°					"Spoke a whaling brig,"
			1000			77.0	76.5								thirty days from the
			1100									5		b.	United States
			1200	38 00	46 53	78.0	76.5								
			1300			78.0	77.0								
			1400			79.0	77.0				Sd.				
			1500			79.0	77.0	80.0	30.250	80°75°					
			1600			78.0	77.0								
			1700			78.0	77.0								
			1800			77.0	77.0								
			1900			77.0	77.0								
			2000			77.0	77.0						Nimbi.	c. p.	
			2100			75.0	79.0	71.0	30.280	78°75°					
			2200			75.0	78.5					4			
			2300			78.0	78.5								
			2400			77.0	78.0								
			Mean.			76.86	77.23	75.0	30.220						
						76.87	77.24	75.00	30.220						Course east
		2	100			78.0	78.0				Sd.	4	Nimbi	c. p.	
			200			77.0	78.0								
			300			76.0	78.0	74.0	30.300	79°76°					
			400			76.0	78.0							c.q.p.	
			500			76.0	77.0								
			600			76.0	77.0								
			700			73.0	77.0					3			
			800			74.0	77.0								
			900			78.0	77.0	74.0	30.350	78°71°				c. p.	
			1000			78.0	77.0					2			
			1100			78.0	77.0				Var.				
			1200	37 51	43 50	77.0	77.0								Spoke a brig from
			1300			79.0	77.0					1			"Salem, bound to "
			1400			80.0	78.0								Cadiz.
			1500			80.0	78.0	84.0	30.400	78°70°					
			1600			80.0	78.0								
			1700			78.0	77.0								
			1800			76.0	77.0								Saw a strange brig
			1900			76.0	78.0					2			steering to northward
			2000			76.0	78.0				East.				
			2100			75.0	76.0	73.0	30.450	77°71°				b. c.	
			2200			75.0	76.0				E. by N	3			
			2300			73.0	76.0								
			2400			73.0	76.0				East.				
