	"VOYAGE AU POLE SUD ET DANS L'OCEANIE SUR LES CORVETTES L'ASTROLABE ET LA ZELEE, CAPT. M J DUMONT D'URVILLE"								

Pg. 2									

YEAR	MONTH	DAY	HOUR	LAT	LONG	BAR	SIMPIESOMETER	AIR	SEA
								TEMP	TEMP
1837	9	8	400						
			800	13 50	27 33	763.2		27.8	27.4
			1200			764.1		28.5	27.4
			1600			762.7		27.0	27.3
			2000	13 50	27 34	763.7		25.9	27.8
			2400			763.7		27.0	27.6
		16	400			762.1		26.5	27.0
			800	11 51	27 05	762.2		25.7	27.0
			1200			766.7		24.3	27.0
			1600			764.8		25.0	27.2
			2000	11 52	27 11	760.7		26.0	27.0
			2400			763.7		26.5	27.0
		17	400			762.2		26.8	27.1
			800	10 13	25 38	762.0		25.8	26.9
			1200			763.7		26.4	26.7
			1600			761.6		27.4	26.9
			2000	10 13	25 38	762.6		27.0	27.0
			2400			761.6		26.7	27.0
		18	400			760.7		26.0	27.0
			800	9 07	25 18	761.5		27.0	27.2
			1200			761.4		28.6	27.8
			1600			760.6		29.8	28.0
			2000	9 07	25 17	762.1		27.6	27.4
			2400			762.0		27.1	27.3
		19	400			761.6		26.9	27.3
			800	8 04	23 50	760.6		27.9	27.4
			1200			761.0		28.3	27.4
			1600			759.4		27.2	27.2
			2000	8 02	23 48	760.6		26.2	26.7
			2400			762.7		26.0	26.7
		20	400			761.1		26.0	27.0
			800	6 26	23 42	763.1		27.2	27.2
			1200			762.0		27.6	27.2
			1600			761.1		27.6	27.7
			2000	6 24	23 38	765.7		26.9	27.2
			2400			763.7		26.5	27.1
		21	400			762.7		26.3	27.0
			800	5 40	24 10	757.5		26.8	27.3
			1200			757.6		28.0	27.6
			1600			759.0		28.7	27.7
			2000	4 39	24 08	761.0		27.2	27.4
			2400			762.7		26.7	27.1
		22	400			761.1		26.0	26.3
			800	5 21	24 11	760.6		25.7	27.4
			1200			761.6		27.5	27.7
			1600			760.6		26.2	27.5
			2000	5 20	24 02	760.2		26.0	27.4
			2400			760.6		26.0	27.3
		23	400			762.8		24.8	26.9
			800	4 51	24 31	761.8		25.2	27.2
			1200			762.3		24.4	26.8
			1600			760.3		25.4	26.0
			2000	4 44	24 18	760.6		25.6	27.3
			2400			761.1		25.7	27.0
		24	400			760.6		26.0	27.0
			800	4 29	24 35	761.1		26.6	27.3
			1200			761.6		26.4	27.3
			1600			757.6		27.2	27.6
			2000	4 30	24 18	761.1		26.5	27.2
			2400			762.6		26.3	27.0
		25	400			762.8		25.7	27.1
			800	3 35	25 25	762.7		24.2	26.3
			1200			761.7		23.2	25.6
			1600			761.2		25.0	26.8
			2000	3 40	24 53	762.2		25.1	26.7
			2400			762.2		25.0	26.7
