"METEOROLOGICAL OBSERVATIONS MADE ON BOARD THE  ""AURORA"", BETWEEN CAPE TOWN AND HOBART 1911 TO 1914"																							
Month/Year	Day	Hour	Lat	Long	Air pressure in inches corrected and reduced	Air temperature in deg. F.																	
			S	E																			
			°    '	°    '																			
				FIRST	SUBANTARCTIC	VOYAGE																	
		12	65 41	144 0	28.89	30.0
		16			28.80	30.8
		20			28.77	30.5
		24			28.84	31.0
	6	4			28.90	30.5
		8			28.95	31.8
		12	66 37	144 58	28.97	32.0
		16			29.02	32.5
		20			29.12	31.8
		24			29.17	31.0
	7	4			29.23	31.0
		8			29.31	31.5
		12	66 55	144 52	29.37	32.0
		16			29.40	33.0
		20			29.43	31.3
		24			29.46	31.0
	8	4			29.43	30.5
		8			29.41	34.0
		12	66 47	143 14	29.38	32.9
		16			29.34	36.0
		20			29.28	42.0
		24	Anchored at	Commonwealth Bay	29.21	28.0
	9	4			29.18	24.5
		8			29.07	30.0
		12			28.94	30.9
		16			28.78	30.5
		20			28.73	27.2
		24			28.71	22.0
	10	4			28.75	19.0
		8			28.79	20.0
		12			28.78	30.0
		16			28.86	31.8
		20			28.98	33.5
		24			29.07	31.0
	11	4			29.13	30.0
		8			29.25	38.4
		12			29.35	37.0
		16			29.43	36.0
		20			29.49	33.0
		24			29.50	30.5
	12	4			29.48	30.0
		8			29.46	32.5
		12			29.38	37.0
		16			29.31	35.0
		20			29.22	31.0
		24			29.17	23.0
	13	4			29.07	20.0
		8			29.04	21.0
		12			29.05	30.0
		16			29.00	32.5
		20			29.03	29.0
		24			28.89	24.0
	14	4			29.91	21.5
		8			28.85	25.0
		12			28.80	31.5
		16			28.70	34.0
		20			28.62	30.0
		24			28.63	30.0
	15	4			28.62	33.0
		8			28.66	35.0
		12			28.67	34.5
		16			28.77	36.0
		20			28.76	33.5
		24			28.77	33.0
	16	4			28.76	33.0
		8			28.87	34.5
		12			28.96	35.5
		16			29.00	36.5
		20			29.08	35.0
		24			29.13	35.0
	17	4			29.09	34.0
		8			29.14	34.5
		12			29.15	35.0
		16			29.16	33.0
		20			29.16	33.0
		24			29.15	28.5
	18	4			29.13	25.0
		8			29.19	24.0
		12			29.21	34.3
		16			29.22	35.0
		20			29.22	32.5
		24			29.24	27.5
	19	4			29.26	26.5
		8			29.33	21.0
		12			29.22	32.5
		16			29.35	37.2
		20	Departed from	Commonwealth Bay	29.39	34.0
		24			29.40	33.0
	20	4			29.42	32.0
		8			29.39	32.0
		12	66 32	140 26	29.36	35.5
		16			29.35	34.8
		20			29.34	32.0
